@relation car

@attribute V1 {high, med, low, vhigh}
@attribute V2 {high, low, vhigh, med}
@attribute V3 {4, 2, 5more, 3}
@attribute V4 {2, 4, more}
@attribute V5 {med, big, small}
@attribute V6 {high, med, low}
@attribute class {unacc, acc, good, vgood}

@data
low,high,5more,4,med,med,acc
med,vhigh,5more,more,small,med,unacc
low,high,4,more,med,high,vgood
med,med,5more,4,small,high,acc
vhigh,med,5more,2,small,med,unacc
high,high,2,2,big,high,unacc
vhigh,low,3,2,small,med,unacc
low,med,5more,more,med,med,good
low,high,3,more,med,high,vgood
med,low,4,more,small,med,acc
vhigh,vhigh,3,more,med,med,unacc
vhigh,low,4,more,small,high,acc
low,low,2,2,med,med,unacc
high,low,3,more,big,med,acc
low,vhigh,3,4,big,med,acc
low,low,3,4,med,med,acc
high,vhigh,3,2,med,high,unacc
med,vhigh,3,2,small,med,unacc
vhigh,high,5more,more,med,high,unacc
low,low,5more,4,big,low,unacc
vhigh,med,3,2,med,med,unacc
low,med,5more,4,big,med,good
high,med,3,2,big,med,unacc
vhigh,high,4,2,big,low,unacc
vhigh,vhigh,3,more,big,low,unacc
low,vhigh,2,4,small,high,acc
low,high,4,2,med,low,unacc
low,vhigh,3,more,big,low,unacc
high,med,4,2,big,high,unacc
vhigh,low,5more,4,big,high,acc
high,med,4,more,small,low,unacc
low,high,4,4,big,med,acc
low,vhigh,2,2,small,low,unacc
low,med,2,2,big,high,unacc
med,low,2,more,small,low,unacc
high,med,3,2,med,low,unacc
high,med,4,more,small,high,acc
high,med,3,2,med,med,unacc
med,vhigh,3,more,big,high,acc
med,med,5more,2,big,med,unacc
med,med,3,2,small,med,unacc
med,high,2,2,small,med,unacc
low,med,2,4,small,low,unacc
high,med,3,more,big,high,acc
low,low,3,2,med,high,unacc
high,high,2,2,med,low,unacc
high,high,4,4,big,low,unacc
low,high,2,more,med,low,unacc
low,low,5more,more,small,low,unacc
med,high,4,4,big,high,acc
high,high,4,2,med,med,unacc
low,low,3,4,big,high,vgood
vhigh,low,3,4,med,low,unacc
vhigh,low,3,2,med,low,unacc
vhigh,low,4,2,small,high,unacc
med,high,4,2,big,med,unacc
med,med,4,more,med,med,acc
vhigh,vhigh,3,2,med,med,unacc
med,low,3,more,big,med,good
vhigh,low,2,2,small,high,unacc
high,high,2,more,small,high,unacc
low,vhigh,4,2,med,low,unacc
med,high,4,2,big,high,unacc
vhigh,vhigh,5more,2,small,high,unacc
high,vhigh,4,4,med,high,unacc
vhigh,low,2,more,med,med,unacc
med,vhigh,5more,2,small,med,unacc
vhigh,low,3,more,big,high,acc
high,low,4,4,small,med,unacc
low,high,2,more,small,low,unacc
vhigh,high,3,2,big,med,unacc
vhigh,low,2,more,big,low,unacc
vhigh,low,2,4,small,low,unacc
vhigh,med,3,4,big,high,acc
vhigh,high,3,2,med,low,unacc
vhigh,high,3,2,med,med,unacc
high,vhigh,5more,more,small,low,unacc
high,high,3,2,big,low,unacc
high,high,4,4,small,high,acc
low,low,4,more,big,low,unacc
high,med,2,4,med,med,unacc
vhigh,vhigh,4,4,med,low,unacc
high,vhigh,5more,more,med,high,unacc
med,vhigh,4,more,big,low,unacc
low,med,5more,more,small,high,good
med,med,5more,4,med,low,unacc
high,low,3,more,small,high,acc
vhigh,high,2,4,med,low,unacc
vhigh,vhigh,3,more,small,low,unacc
low,vhigh,2,2,big,med,unacc
high,vhigh,5more,more,small,high,unacc
high,low,3,2,med,high,unacc
high,med,3,more,small,high,acc
med,low,3,more,big,low,unacc
vhigh,high,3,2,small,high,unacc
high,low,3,4,med,med,unacc
vhigh,vhigh,4,more,big,high,unacc
high,vhigh,3,more,med,low,unacc
vhigh,med,3,2,med,high,unacc
vhigh,low,2,4,small,med,unacc
high,med,5more,2,big,high,unacc
low,high,3,4,big,low,unacc
med,high,5more,2,med,med,unacc
vhigh,vhigh,5more,more,med,high,unacc
vhigh,low,3,more,med,med,acc
high,vhigh,4,4,big,low,unacc
high,med,5more,4,small,med,unacc
med,vhigh,2,2,med,med,unacc
high,vhigh,5more,more,big,high,unacc
high,med,3,more,med,med,acc
vhigh,low,2,more,med,high,acc
med,vhigh,3,2,med,low,unacc
med,vhigh,2,4,small,high,acc
med,med,2,4,med,med,acc
vhigh,low,2,4,med,high,acc
vhigh,vhigh,3,2,small,med,unacc
med,med,4,2,big,high,unacc
med,med,2,4,big,high,vgood
vhigh,vhigh,4,more,med,low,unacc
low,high,5more,4,big,high,vgood
low,med,5more,more,big,high,vgood
high,med,4,more,big,high,acc
med,med,2,more,small,low,unacc
vhigh,low,4,more,small,low,unacc
vhigh,low,3,2,med,high,unacc
vhigh,low,2,4,big,med,acc
low,low,4,2,big,low,unacc
low,high,5more,2,med,med,unacc
med,low,2,more,big,low,unacc
med,vhigh,4,4,big,high,acc
vhigh,vhigh,2,more,small,med,unacc
vhigh,high,3,more,small,med,unacc
med,high,2,2,big,high,unacc
high,high,4,4,med,low,unacc
vhigh,high,4,more,small,low,unacc
vhigh,med,5more,2,med,med,unacc
med,high,5more,more,small,med,unacc
low,high,5more,2,med,high,unacc
vhigh,vhigh,2,more,big,high,unacc
high,med,5more,more,small,high,acc
med,vhigh,5more,4,small,high,acc
med,med,4,2,small,med,unacc
low,high,3,4,small,low,unacc
low,low,2,4,small,high,good
med,high,3,4,big,low,unacc
high,vhigh,2,more,small,high,unacc
vhigh,low,2,more,med,low,unacc
high,high,5more,more,small,med,unacc
vhigh,high,4,more,big,low,unacc
high,med,5more,more,med,med,acc
low,high,4,2,med,med,unacc
low,high,2,more,med,med,acc
vhigh,med,2,2,med,low,unacc
low,high,5more,4,small,high,acc
low,low,3,4,small,high,good
