@relation tic-tac

@attribute V1 {o, b, x}
@attribute V2 {o, b, x}
@attribute V3 {o, b, x}
@attribute V4 {b, x, o}
@attribute V5 {x, o, b}
@attribute V6 {x, b, o}
@attribute V7 {x, b, o}
@attribute V8 {o, b, x}
@attribute V9 {x, o, b}
@attribute class {positive,negative}

@data
o,x,b,x,x,b,o,x,o,positive
x,x,o,b,x,o,b,b,o,negative
o,x,o,x,x,x,b,b,o,positive
b,x,o,x,x,o,o,x,b,positive
b,o,x,o,o,b,x,x,x,positive
b,x,o,x,o,x,o,o,x,negative
x,o,b,x,o,b,x,x,o,positive
o,x,b,b,x,o,x,x,o,positive
x,b,b,b,x,x,o,o,o,negative
o,x,x,b,x,o,b,x,o,positive
x,o,x,x,o,x,o,o,b,negative
o,b,x,o,x,b,x,x,o,positive
o,o,o,b,x,x,x,x,o,negative
x,o,o,x,o,x,o,b,x,negative
b,x,x,o,o,o,x,o,x,negative
x,b,x,o,x,o,x,b,o,positive
o,x,o,x,x,x,o,x,o,positive
o,x,x,o,x,b,b,x,o,positive
b,o,b,x,x,x,b,b,o,positive
o,b,x,o,x,x,x,b,o,positive
x,o,x,o,x,o,x,b,b,positive
x,b,o,b,o,o,x,x,x,positive
x,x,x,b,b,o,x,o,o,positive
x,b,b,o,x,b,b,o,x,positive
x,o,o,x,b,x,x,b,o,positive
x,b,x,b,o,x,o,o,x,positive
x,o,b,b,x,b,o,b,x,positive
x,o,x,o,x,x,o,x,o,negative
x,x,x,o,b,o,b,x,o,positive
x,b,o,o,x,b,o,x,x,positive
x,x,b,o,o,o,b,b,x,negative
x,b,o,x,o,x,x,b,o,positive
b,o,x,o,x,x,x,b,o,positive
x,x,o,o,x,o,o,x,x,positive
x,x,x,o,b,o,b,o,x,positive
x,x,o,x,o,x,o,b,o,negative
o,x,x,o,o,b,x,x,o,negative
x,b,o,x,b,b,x,o,b,positive
x,b,o,x,o,o,x,x,b,positive
x,o,b,b,x,b,b,o,x,positive
b,b,o,b,o,x,o,x,x,negative
x,b,x,b,x,o,o,o,x,positive
o,x,o,x,b,o,x,x,o,negative
b,x,b,x,x,b,o,o,o,negative
o,o,x,x,x,x,b,o,b,positive
x,x,x,o,b,b,o,o,x,positive
x,b,o,o,x,b,x,o,x,positive
o,o,x,b,x,b,x,o,x,positive
b,b,x,o,o,x,b,b,x,positive
o,o,o,x,b,x,b,x,b,negative
x,o,b,x,x,o,x,o,b,positive
o,x,x,o,x,o,x,b,b,positive
b,b,x,x,b,x,o,o,o,negative
o,b,o,b,x,o,x,x,x,positive
o,o,b,b,x,o,x,x,x,positive
x,b,o,x,o,b,x,b,b,positive
b,b,o,x,x,x,o,o,x,positive
x,o,x,o,x,o,x,x,o,positive
x,b,b,x,o,o,x,o,x,positive
x,o,x,o,x,x,o,o,x,positive
o,o,b,x,o,b,x,x,x,positive
x,b,b,x,b,x,o,o,o,negative
x,b,b,o,o,o,x,b,x,negative
b,b,b,o,b,o,x,x,x,positive
o,o,x,x,o,x,x,o,b,negative
b,b,x,o,o,o,x,x,b,negative
x,x,b,b,b,x,o,o,o,negative
o,o,x,x,o,b,x,o,x,negative
x,o,x,x,o,b,o,o,x,negative
o,o,x,o,x,x,b,b,x,positive
x,b,x,x,o,o,x,b,o,positive
o,x,b,x,x,x,b,o,o,positive
b,o,x,x,o,o,x,o,x,negative
x,b,o,x,x,o,x,o,b,positive
o,b,o,o,x,x,o,x,x,negative
b,o,x,b,x,o,x,o,x,positive
x,o,b,x,b,b,x,b,o,positive
o,o,o,x,x,o,b,x,x,negative
b,o,x,o,b,x,x,o,x,positive
x,b,o,o,o,x,o,x,x,negative
o,x,x,b,o,b,x,b,o,negative
o,o,x,x,o,o,x,x,x,positive
o,o,b,o,b,x,x,x,x,positive
x,o,x,x,o,x,b,o,o,negative
o,b,o,b,b,b,x,x,x,positive
x,b,o,x,o,b,o,b,x,negative
