F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	F11	F12	F13	class	
a	a	b	b	b	b	b	a	b	a	b	b	b	b	
a	a	a	a	b	a	b	a	b	a	b	b	a	b	
b	b	b	b	b	b	b	a	b	b	b	b	b	a	
b	b	b	b	b	a	a	b	a	b	a	a	a	c	
a	b	b	b	b	a	a	b	a	b	a	a	b	c	
a	a	a	b	b	b	b	b	b	a	b	b	a	b	
a	b	a	a	a	a	a	b	a	a	a	a	a	b	
b	a	b	a	b	b	b	a	b	b	b	b	b	a	
a	b	b	b	a	b	b	a	a	a	b	b	a	b	
b	b	b	b	b	a	a	b	a	b	b	a	a	c	
a	b	b	b	b	a	a	b	a	b	a	a	a	c	
a	a	b	b	b	b	b	b	b	b	b	a	a	b	
b	b	b	b	a	a	a	b	a	b	a	a	a	c	
a	b	b	b	b	a	a	b	a	b	a	a	a	c	
a	a	b	b	a	a	a	b	b	a	b	a	a	b	
b	a	b	a	b	b	b	a	b	b	b	b	b	a	
b	b	b	b	a	a	a	b	a	b	a	a	a	c	
b	a	b	a	b	b	b	a	b	b	b	b	b	a	
b	b	b	b	b	a	a	b	b	b	a	a	b	c	
a	a	a	b	a	a	a	a	b	a	b	b	a	b	
a	a	b	b	a	b	b	b	a	a	b	b	a	b	
a	a	b	b	a	b	b	b	b	b	a	b	a	b	
b	b	b	b	b	a	a	b	b	b	a	a	a	c	
a	a	a	a	a	a	a	a	a	a	b	a	a	b	
b	b	b	b	b	a	a	b	a	b	b	a	a	c	
a	a	a	b	a	a	b	a	b	a	b	b	a	b	
a	a	b	b	b	a	b	b	a	a	b	a	a	b	
b	a	b	a	b	b	b	a	a	b	b	b	b	a	
b	a	b	a	b	b	b	a	b	b	b	b	b	a	
b	b	b	b	b	a	a	b	a	b	a	a	a	c	
b	b	b	a	b	b	b	a	b	b	a	b	a	a	
a	b	b	b	a	a	a	b	a	b	a	a	a	c	
a	a	b	b	b	a	a	b	b	b	a	a	a	c	
a	a	b	b	b	a	b	a	b	a	b	b	a	b	
b	a	a	a	b	a	b	a	a	b	b	a	a	b	
a	a	b	b	a	b	b	b	b	a	b	a	a	b	
b	a	b	b	b	b	b	b	b	b	b	b	b	a	
b	a	b	a	b	b	b	a	b	b	b	b	b	a	
a	a	b	b	a	b	b	b	b	a	b	b	a	b	
a	b	b	b	b	a	a	b	a	b	a	a	a	c	
b	b	b	b	b	a	a	a	a	b	a	a	a	c	
a	b	b	b	b	a	b	b	b	a	b	b	a	b	
b	a	b	b	b	b	b	a	b	b	b	b	b	a	
a	a	b	b	a	a	b	a	b	b	b	b	a	b	
b	a	b	a	b	b	b	a	b	b	b	b	b	a	
